"Detector Number","Name","Phi (rad)","Elevation (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)","In Use?"
1,"1-C9",-0.6283190000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
2,"2-B8",-0.9424780000,0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
3,"3-A8",-1.2566400000,0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
4,"4-A7",-1.8849600000,0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
5,"5-B6",-2.1991100000,0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
6,"6-C6",-2.5132700000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
7,"7-D6",-2.1991100000,-0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
8,"8-E7",-1.8849600000,-0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
9,"9-E8",-1.2566400000,-0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
10,"10-D2",1.5708000000,-0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
11,"11-C7",-1.8849600000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
12,"12-C8",-1.2566400000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
13,"13-D7",-1.5708000000,-0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
14,"14-B7",-1.5708000000,0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
